"Codi";"Nom";"Codi comarca";"Nom comarca";"negatius";"positius"
80018;"Abrera";11;"Baix Llobregat";21;10
250030;"Agramunt";38;"Urgell";12;4
80023;"Aguilar de Segarra";7;"Bages";0;0
170010;"Agullana";2;"Alt Empordà";0;0
80142;"Aiguafreda";41;"Vallès Oriental";11;6
430017;"Aiguamúrcia";1;"Alt Camp";6;0
170025;"Aiguaviva";20;"Gironès";1;3
250387;"Aitona";33;"Segrià";5;5
250045;"Alamús, els";33;"Segrià";2;0
250061;"Albagés, l'";18;"Garrigues";2;0
170031;"Albanyà";2;"Alt Empordà";0;0
250077;"Albatàrrec";33;"Segrià";3;5
250083;"Albesa";23;"Noguera";0;0
250096;"Albi, l'";18;"Garrigues";0;0
430022;"Albinyana";12;"Baix Penedès";3;4
430038;"Albiol, l'";8;"Baix Camp";2;0
170046;"Albons";10;"Baix Empordà";0;0
430043;"Alcanar";22;"Montsià";10;1
250100;"Alcanó";33;"Segrià";0;1
250117;"Alcarràs";33;"Segrià";27;14
250122;"Alcoletge";33;"Segrià";6;5
430056;"Alcover";1;"Alt Camp";6;0
439044;"Aldea, l'";9;"Baix Ebre";7;1
430069;"Aldover";9;"Baix Ebre";2;1
430075;"Aleixar, l'";8;"Baix Camp";4;0
80039;"Alella";21;"Maresme";38;28
430081;"Alfara de Carles";9;"Baix Ebre";0;0
250138;"Alfarràs";33;"Segrià";12;3
430094;"Alforja";8;"Baix Camp";6;0
250143;"Alfés";33;"Segrià";0;0
250156;"Algerri";23;"Noguera";1;0
250169;"Alguaire";33;"Segrià";5;4
250175;"Alins";26;"Pallars Sobirà";1;0
430108;"Alió";1;"Alt Camp";0;0
250194;"Almacelles";33;"Segrià";14;2
250208;"Almatret";33;"Segrià";0;0
250215;"Almenar";33;"Segrià";18;5
430115;"Almoster";8;"Baix Camp";4;2
170062;"Alp";15;"Cerdanya";3;1
80044;"Alpens";24;"Osona";0;0
250236;"Alpicat";33;"Segrià";14;10
250241;"Alt Àneu";26;"Pallars Sobirà";1;1
430120;"Altafulla";36;"Tarragonès";6;1
250058;"Alàs i Cerc";4;"Alt Urgell";1;0
250220;"Alòs de Balaguer";23;"Noguera";1;0
170078;"Amer";34;"Selva";5;4
430136;"Ametlla de Mar, l'";9;"Baix Ebre";11;1
80057;"Ametlla del Vallès, l'";41;"Vallès Oriental";17;9
439060;"Ampolla, l'";9;"Baix Ebre";3;4
430141;"Amposta";22;"Montsià";29;17
250273;"Anglesola";38;"Urgell";2;0
170084;"Anglès";34;"Selva";4;5
250292;"Arbeca";18;"Garrigues";2;1
430154;"Arbolí";8;"Baix Camp";0;0
430167;"Arboç, l'";12;"Baix Penedès";3;4
170097;"Arbúcies";34;"Selva";15;4
80060;"Arenys de Mar";21;"Maresme";46;20
80076;"Arenys de Munt";21;"Maresme";29;16
170101;"Argelaguer";19;"Garrotxa";0;0
430173;"Argentera, l'";8;"Baix Camp";0;0
80095;"Argentona";21;"Maresme";32;27
80082;"Argençola";6;"Anoia";1;0
170118;"Armentera, l'";2;"Alt Empordà";3;0
430189;"Arnes";37;"Terra Alta";2;0
250313;"Arres";39;"Aran";0;0
250328;"Arsèguel";4;"Alt Urgell";0;0
250334;"Artesa de Lleida";33;"Segrià";2;5
250349;"Artesa de Segre";23;"Noguera";2;2
80109;"Artés";7;"Bages";4;5
430192;"Ascó";30;"Ribera d'Ebre";3;1
250365;"Aspa";33;"Segrià";0;0
